,name,latitude,longitude,rating,number of reviews,affluence
340,S.A.ENTERPRISE,22.35756920000001,91.7829951,,,
341,নিউ খাবার বাড়ি,22.3561575,91.78379849999999,4.5,2.0,
342,BABIER DOKHAN,22.3564568,91.7842448,,,
343,Sadia's Kitchen,22.3578551,91.7825649,3.8,57.0,
344,Vojonbari restaurant & biriyani house ভোজন বাড়ি রেস্তোরা এন্ড বিরানী হাউস,22.3578781,91.7825539,3.4,14.0,
345,Gazi store,22.3556552,91.7834048,,,
346,G. J International,22.3580447,91.7836726,,,
347,মামুন বিরানী হাউস,22.3577574,91.7822233,3.0,2.0,
348,Shah Amanat Fast Foods,22.3580151,91.7825572,,,
349,বিসমিল্লাহ ভাত ঘর ( Bismillah Bath Gor),22.3582043,91.7830628,4.2,6.0,
350,Nanna Biriyani House,22.3582216,91.78376949999999,3.8,5.0,
351,Amman Fast Food,22.3583661,91.78293269999999,3.4,10.0,
352,New Candy,22.3583649,91.78291399999999,,,
353,Tmkofficials,22.3553737,91.78271029999999,,,
354,Jollibee,22.3580594,91.7821069,2.8,4.0,
355,Alongkar Hotel and Biriyani House,22.35843,91.7831939,3.9,367.0,
356,Al Madina Bhat Ghar O Jhal Bitan,22.3581799,91.78420179999999,,,
357,S.T Cafea,22.3582027,91.7819748,5.0,1.0,
358,Jewel Jhal Bitan,22.3582569,91.7818357,4.7,3.0,
359,Adda Fast Food,22.3583922,91.78189069999999,3.0,2.0,
360,Bonanza,22.3607,91.8214,4.0,396.0,$$
361,The Pavilion,22.3575332,91.821739,4.1,806.0,
362,Muno Cafe Bistro,22.3543603,91.8309238,4.1,1073.0,$$$
363,Handi Restaurant,22.35495419999999,91.82166810000001,4.0,5015.0,$$
364,TMT Daily Needs,22.3557659,91.8226723,3.9,981.0,$$
365,CFC,22.3608466,91.83002390000001,3.5,641.0,$$
366,Impala Chinese and South Indian Restaurant,22.3612643,91.82896679999999,4.0,970.0,$$
367,Crush Cafe,22.3565703,91.83602259999999,4.0,576.0,$$
368,Khana Ghat,22.3568226,91.8365779,3.6,487.0,$$
369,Paradise MINI Chinese,22.3578594,91.8376122,3.7,86.0,
370,Sadia's Kitchen CHK,22.3567323,91.8374292,3.7,2113.0,$$
371,Hunger Killers,22.356671,91.83742339999999,4.2,576.0,$$
372,Errante,22.3646644,91.8249676,4.0,1325.0,$$
373,Cafe Milano,22.3648773,91.8248399,4.1,2627.0,$$
374,Chawk Bhojon Restaurant,22.3575475,91.83916930000001,3.5,14.0,
375,Abul Biriani House,22.3587953,91.82168419999999,3.0,4.0,
376,Bellpepper Restaurant,22.3654045,91.8242586,3.9,879.0,$$
377,Sadia's Kitchen,22.3609892,91.82140629999999,3.8,1714.0,$
378,Pizza Hut,22.3569951,91.82134119999999,4.2,2945.0,$$
379,ZomHuri Cafe,22.366304,91.8245389,4.0,2.0,
380,6Teen Cafe and Bistro,22.366392,91.82451879999999,3.7,72.0,$$
381,Lunch Box,22.3664804,91.824516,3.7,28.0,
382,Bomber & Ginger,22.3664959,91.8244627,3.6,52.0,
383,Face Food Cafe,22.3666153,91.824457,4.1,28.0,
384,Jobbar Hotel And Biriyani House,22.3687928,91.8326099,,,
385,Modina Hotel,22.3691636,91.83304849999999,3.3,15.0,
386,Regalo,22.3507552,91.821534,4.1,426.0,
387,Haldi Arabian House,22.3606451,91.8173941,4.1,868.0,$$
388,Spoon.bd,22.3484782,91.83832,3.6,125.0,$$
389,In&out,22.3458762,91.8344418,3.9,254.0,
390,Rodela Bikel,22.3467333,91.8239084,3.6,523.0,$$
391,Red Chilli,22.3466639,91.8233865,3.7,1377.0,$$
392,এ্যাপলবী বেকসপ্,22.3688811,91.844534,4.3,6.0,
393,Desh Kitchen,22.36158799999999,91.8137435,4.1,34.0,$
394,Issy Food,22.3473376,91.8189743,5.0,2.0,
395,Broast Cafe,22.3471217,91.8188285,4.1,1582.0,$$
396,Appetito,22.3471188,91.8188036,4.1,244.0,$$
397,Saffron Restaurant Chittagong,22.3430617,91.8351852,3.9,634.0,$$
398,Westin,22.3614624,91.8126723,4.6,9.0,
399,Sizzle,22.3429709,91.8358085,3.7,136.0,
400,Stre Eat,22.361455,91.8125654,3.8,43.0,
401,Cafe Bonafide,22.3615101,91.8125567,3.8,55.0,$$
402,Tava Restaurant & Lounge,22.3615538,91.8123834,4.1,864.0,$$$
403,Swapnil Restaurant,22.3414495,91.8309367,4.0,184.0,$$
404,৩য় শ্রেণি কেন্টিন (হুজুরের দোকান),22.3594548,91.83013400000002,,,
405,CMC Restaurant,22.3596838,91.82998450000001,3.8,490.0,
406,kutub resturent,22.3581375,91.8304814,4.0,1.0,
407,Pirani Hotel & Birani House,22.3609069,91.8301619,3.4,24.0,
408,Cafe Al Monjur Restaurant & Birani House,22.359968,91.83266770000002,2.8,4.0,
409,Cafe Muslim Hotel And Restaurant,22.3599487,91.832685,3.0,6.0,
410,আহার রেঁস্তোরা,22.3608164,91.8297769,3.8,19.0,
411,New Radhuni Restaura & Biryani House,22.3608153,91.8297621,4.3,4.0,
412,Bhandari Hotel,22.3599338,91.8327449,3.8,6.0,
